OACI;CIAD;Nome;Município;UF;Tipo;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência do Pavimento;Superfície;Validade do Registro;Portaria de Registro;Link Portaria;Luzes de Aproximação;Luzes de Área de Toque e Elevação Inicial (TLOF);Indicador Visual de Rampa de Aproximação;Luzes Indicadoras de Área de Aproximação Final de Decolagem (FATO);Luzes de Obstáculo;Luzes de Ponto de Vizada de Heliponto
SSHJ;SP0750;JC;OSASCO;São Paulo;Elevado;-23,533889;-46,782222;23°32'02.0"S;046°46'56.0"W;776,0;VFR;VFR;14;Quadrado;19,56 m;4,00;Concreto;23/03/2027;PA2017-0839;https://pergamum.anac.gov.br/arquivos/PA2017-0839.pdf;;;;;;
SILV;SP0524;VOCP;SÃO PAULO;São Paulo;Elevado;-23,594444;-46,688889;23°35'40.0"S;046°41'20.0"W;811,0;VFR;VFR;8;Quadrado;21 m;4,50;Concreto;14/03/2028;PA2018-0647;https://pergamum.anac.gov.br/arquivos/PA2018-0647.pdf;;;;;;
SWVM;MG0288;Vinte e Oito;BELO HORIZONTE;Minas Gerais;Elevado;-19,962778;-43,958333;19°57'46.0"S;043°57'30.0"W;1018,0;VFR;VFR;14;Quadrado;19,5 m;4,00;Concreto;29/05/2023;PA2013-1397;https://pergamum.anac.gov.br/arquivos/PA2013-1397.pdf;;;;;;
SNBO;CE0134;Botelho Belchior;ARATUBA;Ceará;No solo;-4,3786111;-39,034167;04°22'43.0"S;039°02'03.0"W;768,0;VFR;VFR;16;Quadrado;19,5 m;4,00;Concreto;13/02/2030;PA2019-69;https://pergamum.anac.gov.br/arquivos/PA2019-69.pdf;;;;;;
SNRY;MG0259;Bissoli;BELO HORIZONTE;Minas Gerais;No solo;-19,972778;-43,935;19°58'22.0"S;043°56'06.0"W;1162,0;VFR;Sem Operação;19;Quadrado;20 m;4,00;Grama;19/12/2023;PA2016-2100;https://pergamum.anac.gov.br/arquivos/PA2016-2100.pdf;;;;;;
SNEM;BA0213;Enseada;SALVADOR;Bahia;No solo;-12,795556;-38,643611;12°47'44.0"S;038°38'37.0"W;13,0;VFR;VFR;11;Quadrado;21 m;4,00;Concreto;16/08/2026;PA2016-2101;https://pergamum.anac.gov.br/arquivos/PA2016-2101.pdf;;;;;;
SSOM;GO0194;Fazenda Balada II;BELA VISTA DE GOIÁS;Goiás;No solo;-16,818056;-49,050278;16°49'05.0"S;049°03'01.0"W;710,0;VFR;VFR;14;Quadrado;21 m;4,00;Concreto;29/05/2029;PA2019-1494;https://pergamum.anac.gov.br/arquivos/PA2019-1494.pdf;;;;;;
SDAH;SP0287;Signo Resgate Alphaville;BARUERI;São Paulo;Elevado;-23,493611;-46,848333;23°29'37.0"S;046°50'54.0"W;788,0;VFR;VFR;17;Quadrado;20,6 m;4,00;Concreto;23/07/2024;PA2016-2099;https://pergamum.anac.gov.br/arquivos/PA2016-2099.pdf;;;;;;
SWGX;MG0310;Fortunas;FORTUNA DE MINAS;Minas Gerais;No solo;-19,614722;-44,413611;19°36'53.0"S;044°24'49.0"W;750,0;VFR;VFR;16;Quadrado;21 m;4,00;Grama;28/05/2029;PA2019-1505;https://pergamum.anac.gov.br/arquivos/PA2019-1505.pdf;;;;;;
SDEX;SP0322;Parque Maeda;ITU;São Paulo;No solo;-23,339167;-47,3475;23°20'21.0"S;047°20'51.0"W;653,0;VFR;;10;Quadrado;21 m;4,50;Grama;19/07/2027;PA2017-2065;https://pergamum.anac.gov.br/arquivos/PA2017-2065.pdf;;;;;;
